Year,Spring Avg Air Temp (deg F),Summer Avg Air Temp (deg F),Autumn Avg Air Temp (deg F)
2000,60.5,73.6,60.0
2001,61.8,74.0,63.8
2002,58.5,73.6,62.4
2003,57.9,75.0,62.7
2004,62.6,73.7,61.1
2005,59.2,75.0,61.8
2006,57.9,76.1,61.2
2007,61.1,74.3,60.8
2008,59.9,75.2,63.4
2009,60.0,73.4,62.2
2010,56.2,72.4,62.0
2011,56.7,72.5,62.4
2012,59.1,74.2,63.6
2013,62.2,74.8,61.8
2014,62.4,75.5,64.5
2015,61.3,76.0,63.6
2016,61.7,75.3,62.7
2017,60.7,77.4,63.5
2018,58.9,75.6,62.4
2019,59.2,76.0,62.0
2020,60.1,76.1,64.2
2021,60.3,75.8,62.8
